entity,MeSH_ID
http://www.wikidata.org/entity/Q35942,D011114
http://www.wikidata.org/entity/Q30555,D011519
http://www.wikidata.org/entity/Q31431,D011563
http://www.wikidata.org/entity/Q41630,D011572
http://www.wikidata.org/entity/Q43010,D011791
http://www.wikidata.org/entity/Q39645,D012660
http://www.wikidata.org/entity/Q41631,D012788
http://www.wikidata.org/entity/Q35830,D012912
http://www.wikidata.org/entity/Q34396,D012915
http://www.wikidata.org/entity/Q35715,D013021
http://www.wikidata.org/entity/Q30959,D013286
http://www.wikidata.org/entity/Q28823,D013784
http://www.wikidata.org/entity/Q41353,D014557
http://www.wikidata.org/entity/Q37813,D017753
http://www.wikidata.org/entity/Q42797,D020455
http://www.wikidata.org/entity/Q35874,D020480
http://www.wikidata.org/entity/Q28700,D020554
http://www.wikidata.org/entity/Q35625,D020939
http://www.wikidata.org/entity/Q30024,D031205
http://www.wikidata.org/entity/Q40348,D033241
http://www.wikidata.org/entity/Q29725,D042442
http://www.wikidata.org/entity/Q38173,D043562
http://www.wikidata.org/entity/Q28922,D046370
http://www.wikidata.org/entity/Q31448,D046410
http://www.wikidata.org/entity/Q30041,D047709
http://www.wikidata.org/entity/Q37643,D047830
http://www.wikidata.org/entity/Q27939,D063346
http://www.wikidata.org/entity/Q44804,C121466
http://www.wikidata.org/entity/Q55627,D000087509
http://www.wikidata.org/entity/Q49546,D000096
http://www.wikidata.org/entity/Q46729,D000656
http://www.wikidata.org/entity/Q58356,D000657
http://www.wikidata.org/entity/Q47038,D002610
http://www.wikidata.org/entity/Q43656,D002784
http://www.wikidata.org/entity/Q52858,D004980
http://www.wikidata.org/entity/Q48360,D006624
http://www.wikidata.org/entity/Q46158,D006808
http://www.wikidata.org/entity/Q53099,D007043
http://www.wikidata.org/entity/Q49989,D007562
http://www.wikidata.org/entity/Q44448,D007887
http://www.wikidata.org/entity/Q43518,D009791
http://www.wikidata.org/entity/Q47092,D011902
http://www.wikidata.org/entity/Q52062,D012537
http://www.wikidata.org/entity/Q43794,D014422
http://www.wikidata.org/entity/Q47146,D014584
http://www.wikidata.org/entity/Q46305,D016563
http://www.wikidata.org/entity/Q51993,D019142
http://www.wikidata.org/entity/Q156311,D034401
http://www.wikidata.org/entity/Q157711,D036661
http://www.wikidata.org/entity/Q166026,D038421
http://www.wikidata.org/entity/Q157228,D039105
http://www.wikidata.org/entity/Q158323,D039282
http://www.wikidata.org/entity/Q162194,D052859
http://www.wikidata.org/entity/Q167751,D057486
http://www.wikidata.org/entity/Q174786,C018861
http://www.wikidata.org/entity/Q186257,C023842
http://www.wikidata.org/entity/Q171558,D000059
http://www.wikidata.org/entity/Q169950,D000075923
http://www.wikidata.org/entity/Q185598,D000078646
http://www.wikidata.org/entity/Q185089,D000138
http://www.wikidata.org/entity/Q180472,D000300
http://www.wikidata.org/entity/Q173725,D000389
http://www.wikidata.org/entity/Q169219,D000418
http://www.wikidata.org/entity/Q173235,D000700
http://www.wikidata.org/entity/Q185034,D000755
http://www.wikidata.org/entity/Q184199,D001331
http://www.wikidata.org/entity/Q179217,D001777
http://www.wikidata.org/entity/Q182849,D002126
http://www.wikidata.org/entity/Q182968,D002520
http://www.wikidata.org/entity/Q180951,D002843
http://www.wikidata.org/entity/Q174723,D003061
http://www.wikidata.org/entity/Q178194,D003550
http://www.wikidata.org/entity/Q182263,D004645
http://www.wikidata.org/entity/Q170480,D005053
http://www.wikidata.org/entity/Q180538,D005398
http://www.wikidata.org/entity/Q182808,D005685
http://www.wikidata.org/entity/Q179254,D005780
http://www.wikidata.org/entity/Q180618,D005815
http://www.wikidata.org/entity/Q181619,D005973
http://www.wikidata.org/entity/Q169313,D006147
http://www.wikidata.org/entity/Q181754,D006333
http://www.wikidata.org/entity/Q174647,D006365
http://www.wikidata.org/entity/Q169324,D006860
http://www.wikidata.org/entity/Q171877,D006861
http://www.wikidata.org/entity/Q179232,D007374
http://www.wikidata.org/entity/Q178066,D007989
http://www.wikidata.org/entity/Q168403,D009216
http://www.wikidata.org/entity/Q186529,D009289
http://www.wikidata.org/entity/Q178069,D009336
http://www.wikidata.org/entity/Q177635,D009398
http://www.wikidata.org/entity/Q177105,D009457
http://www.wikidata.org/entity/Q167810,D009987
http://www.wikidata.org/entity/Q172605,D010159
http://www.wikidata.org/entity/Q182899,D011790
http://www.wikidata.org/entity/Q173432,D012100
http://www.wikidata.org/entity/Q174857,D012600
http://www.wikidata.org/entity/Q184395,D012623
http://www.wikidata.org/entity/Q184215,D013788
http://www.wikidata.org/entity/Q169326,D015025
http://www.wikidata.org/entity/Q185325,D016887
http://www.wikidata.org/entity/Q181332,D017641
